Compound,Index,C Log P,TPSA,Molecular Weight,nON,nOHNH,ROTB,Molecular Volume,Decision
1,1,0.99,105.53,290.32,7,4,5,263.15,1
2,2,2.97,41.49,259.35,3,2,6,257.82,0
3,3,4.19,68.75,446.91,7,1,8,385.07,0
4,4,0.29,46.53,348.51,4,1,9,359.64,1
5,5,4.14,35.16,326.83,4,1,1,292.3,0
6,6,-1.24,156.8,229.63,8,8,2,176.82,1
7,7,-1.39,46.53,340.44,4,1,5,330.48,1
8,8,2.73,180.09,749,14,5,7,736.45,0
9,9,4.3,40.54,375.87,3,1,6,336.98,0
10,10,4.55,63.97,454.61,6,0,13,454.3,0
11,11,3.89,86.28,493.62,8,2,7,461.44,0
12,12,2.54,67.59,299.8,5,3,7,278.91,1
35,13,0.38,103.29,339.39,8,4,8,315.02,1
36,14,0.72,84.58,266.34,5,4,8,260.9,1
37,15,1.77,49.77,289.38,4,1,5,279.01,1
38,16,1.77,49.77,289.38,4,1,5,279.01,1
39,17,2.78,97.72,577.62,8,1,8,486.77,0
40,18,0.72,84.58,266.34,5,4,8,260.9,1
41,19,-0.85,46.53,318.44,4,1,5,315.46,1
43,20,1.43,119.48,346.41,7,6,5,296.89,1
44,21,2.56,71.7,434.58,6,2,3,417.74,0
45,22,-0.26,86.01,331.47,7,2,10,293.96,1
46,23,-1.94,59.06,392.52,5,1,5,332.91,1
47,24,1.05,62.3,303.36,5,1,5,277.2,0
48,25,3.57,23.47,259.39,2,1,2,268.06,0
50,26,1.16,143.27,371.42,8,6,5,313.75,1
51,27,1.16,119.48,332.38,7,6,5,280.09,1
52,28,2.77,92.71,395.46,7,3,5,356.62,0
53,29,0.33,133.47,320.37,7,7,6,272.99,1
54,30,1.46,119.48,346.41,7,6,5,296.89,1
55,31,0.38,133.47,320.37,7,7,6,272.99,1
56,32,2.85,102.54,478.48,7,2,7,406.09,1
57,33,-0.31,159.93,394.45,9,8,10,340.57,1
58,34,1.34,139.7,392.48,8,7,9,348.9,1
59,35,1.33,139.7,404.49,8,7,9,355.34,1
60,36,-0.31,153.7,350.4,8,8,7,297.83,1
61,37,0.67,139.7,364.43,8,7,8,315.51,1
62,38,1.82,89.24,517.67,8,1,5,469.58,0
63,39,2.96,107.26,631.77,9,2,9,564.63,0
64,40,-2.3,107.45,375.47,7,5,5,333.83,1
65,41,1.01,132.37,347.4,8,6,5,292.73,1
66,42,-3.06,127.68,393.49,8,6,8,352.45,1
67,43,3.93,125.14,521.58,10,3,10,466.07,0
68,44,1.48,139.7,404.49,8,7,9,354.77,1
69,45,1.03,139.7,390.46,8,7,9,338.54,1
70,46,-0.09,146.36,321.36,8,7,6,268.83,1
71,47,1.66,119.92,404.49,8,5,8,356.42,1
