Index,C Log P,TPSA,Molecular Weight,nON,nOHNH,ROTB,Molecular Volume,Predict_KNN,Predict_RF,Predict_DT,Predict_Naive,Predict_XG-Boost,Predict_SVM,Y_Actual
82.0,1.82,200.47,556.63,15.0,7.0,12.0,500.17,0.0,0.0,0.0,0.0,1.0,0.0,0.0
56.0,3.34,138.8,734.81,12.0,3.0,8.0,643.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67.0,2.4,107.45,359.33,6.0,5.0,5.0,275.95,1.0,0.0,0.0,1.0,0.0,1.0,0.0
64.0,3.1,136.99,460.56,9.0,5.0,8.0,408.23,1.0,0.0,0.0,0.0,0.0,0.0,0.0
106.0,0.68,148.94,422.51,9.0,7.0,12.0,374.9,1.0,1.0,0.0,1.0,1.0,1.0,1.0
62.0,1.29,127.68,307.33,7.0,6.0,4.0,252.67,1.0,1.0,1.0,1.0,1.0,1.0,1.0
65.0,1.22,127.76,390.46,8.0,5.0,7.0,343.15,1.0,1.0,1.0,1.0,1.0,1.0,1.0
39.0,2.96,107.26,631.77,9.0,2.0,9.0,564.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,1.33,139.7,404.49,8.0,7.0,9.0,355.34,1.0,1.0,1.0,1.0,1.0,1.0,1.0
91.0,1.31,119.48,334.4,7.0,6.0,7.0,290.66,1.0,1.0,1.0,1.0,1.0,1.0,1.0
92.0,0.14,88.89,252.35,6.0,3.0,7.0,231.45,1.0,1.0,1.0,1.0,1.0,1.0,1.0
115.0,-0.31,159.93,394.45,9.0,8.0,10.0,340.57,1.0,1.0,1.0,1.0,1.0,1.0,1.0
28.0,2.77,92.71,395.46,7.0,3.0,5.0,356.62,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,0.99,105.53,290.32,7.0,4.0,5.0,263.15,1.0,1.0,1.0,1.0,1.0,1.0,1.0
161.0,-1.6,231.54,514.5,16.0,8.0,8.0,434.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132.0,0.43,97.78,205.26,5.0,6.0,6.0,198.34,1.0,1.0,1.0,1.0,1.0,1.0,1.0
137.0,4.51,31.64,437.53,4.0,1.0,7.0,380.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69.0,2.31,119.48,443.3,7.0,6.0,5.0,319.71,1.0,0.0,0.0,1.0,0.0,1.0,1.0
128.0,1.32,133.47,374.47,7.0,7.0,5.0,329.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.0,2.97,41.49,259.35,3.0,2.0,6.0,257.82,0.0,0.0,0.0,0.0,0.0,1.0,0.0
49.0,2.05,103.27,354.44,6.0,5.0,4.0,305.34,1.0,1.0,0.0,1.0,1.0,1.0,1.0
144.0,3.42,29.1,239.75,2.0,1.0,4.0,228.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129.0,1.27,127.76,366.44,8.0,5.0,5.0,321.62,1.0,1.0,1.0,1.0,1.0,1.0,0.0
41.0,1.01,132.37,347.4,8.0,6.0,5.0,292.73,1.0,1.0,1.0,1.0,1.0,1.0,1.0
136.0,3.92,15.27,266.39,2.0,1.0,4.0,270.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99.0,1.98,57.28,248.33,4.0,3.0,6.0,242.81,1.0,0.0,0.0,1.0,1.0,1.0,0.0
40.0,-2.3,107.45,375.47,7.0,5.0,5.0,333.83,1.0,1.0,1.0,1.0,1.0,1.0,1.0
47.0,1.66,119.92,404.49,8.0,5.0,8.0,356.42,1.0,1.0,1.0,1.0,1.0,1.0,1.0
63.0,1.28,145.78,404.45,9.0,6.0,7.0,341.44,1.0,1.0,1.0,1.0,1.0,1.0,1.0
54.0,-0.62,80.69,424.52,7.0,2.0,5.0,393.55,1.0,0.0,0.0,1.0,0.0,1.0,1.0
130.0,-0.02,135.59,358.44,8.0,5.0,5.0,292.26,1.0,1.0,1.0,1.0,1.0,1.0,1.0
153.0,1.69,117.34,505.62,9.0,3.0,9.0,472.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86.0,0.82,129.64,253.27,7.0,6.0,1.0,216.68,1.0,1.0,1.0,1.0,1.0,1.0,1.0
183.0,1.4,65.2,295.41,5.0,2.0,6.0,269.73,1.0,1.0,1.0,1.0,1.0,0.0,1.0
71.0,2.09,119.48,380.86,7.0,6.0,5.0,310.43,1.0,1.0,0.0,1.0,1.0,1.0,1.0
94.0,2.46,48.01,307.39,5.0,0.0,8.0,299.22,0.0,1.0,0.0,1.0,1.0,0.0,0.0
30.0,1.46,119.48,346.41,7.0,6.0,5.0,296.89,1.0,1.0,1.0,1.0,1.0,1.0,1.0
140.0,3.34,32.34,288.44,3.0,1.0,5.0,301.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185.0,1.31,103.06,387.44,9.0,2.0,4.0,348.39,0.0,1.0,1.0,1.0,1.0,0.0,0.0
