Index,C Log P,TPSA,Molecular Weight,nON,nOHNH,ROTB,Molecular Volume,Decision
1,-5.39,93.42,415.5,7,1,6,340.57,1
2,-5.17,40.13,157.21,3,0,1,159.43,0
3,-3.8,80.39,125.15,4,3,2,96.98,1
4,-3.43,118.44,175.19,6,6,5,160.83,1
5,-3.22,122.47,300.3,9,1,3,229.94,1
6,-3.19,83.47,181.21,5,2,4,150.44,1
7,-3.04,219.84,473.45,14,8,9,398.54,1
8,-2.71,124.59,263.27,8,4,7,218.66,1
9,-2.7,147.91,279.19,9,5,6,224.14,1
10,-2.17,139.29,255.23,9,5,5,212.6,1
11,-2.15,156.36,289.19,10,5,5,224.12,1
12,-2.06,139.29,267.25,9,5,2,218.61,1
13,-1.98,54.37,188.29,3,1,3,137.84,1
14,-1.97,210.55,454.45,13,7,9,387.36,1
15,-1.94,116.69,261.17,8,3,2,206.25,1
16,-1.81,60.36,137.11,3,1,1,116.32,1
17,-1.76,93.81,206.18,6,1,4,149.83,1
18,-1.71,154.86,329.21,11,4,1,245.99,1
19,-1.68,136.8,339.33,9,2,6,272.1,1
20,-1.61,119.06,225.21,8,4,4,187.75,1
21,-1.55,156.1,454.52,12,2,7,343.52,1
22,-1.49,112.73,347.4,7,4,4,293.19,1
23,-1.46,92.42,194.19,5,4,3,170.52,1
24,-1.44,114.38,168.11,7,4,0,124.93,1
25,-1.35,132.96,365.41,8,5,4,306.89,1
26,-1.18,162.42,288.2,10,6,5,227.28,1
27,-1.09,90.38,229.26,6,3,2,187.07,1
28,-1.09,57.61,217.29,4,1,3,195.65,1
29,-1.06,90.38,211.22,6,3,2,185.75,1
30,-1,162.92,410.43,10,5,6,317.58,1
31,-0.99,104.56,296.2,7,3,3,221.93,1
32,-0.98,136.39,273.19,9,4,5,215.99,1
33,-0.95,93.04,236.23,7,2,2,199.28,1
34,-0.95,106.93,410.47,7,3,8,377.03,1
35,-0.88,147.22,383.41,10,4,5,295.17,1
36,-0.88,81.43,254.27,6,1,3,201.66,1
37,-0.86,93.4,238.24,5,0,6,214.46,1
38,-0.86,158.04,329.29,10,2,7,257.42,1
39,-0.8,79.39,213.21,5,2,2,161.46,1
40,-0.75,174.73,382.3,10,5,3,280.5,1
41,-0.7,74.57,331.35,6,2,3,285.46,1
42,-0.68,172.47,525.64,13,4,10,421.91,1
43,-0.62,136.39,287.22,9,4,5,232.58,1
44,-0.59,65.72,130.08,4,2,0,96.91,1
45,-0.57,158.21,395.42,10,5,5,305.37,1
46,-0.54,84.33,224.22,6,2,2,192.96,1
47,-0.54,66.4,179.18,4,2,3,159.23,1
48,-0.5,63.6,188.2,4,1,2,149.04,1
49,-0.49,227.57,478.36,13,8,4,374.39,0
50,-0.39,57.37,152.18,4,2,0,117.56,1
51,-0.33,125.4,301.24,9,3,7,250.32,1
52,-0.31,90.65,183.16,5,3,2,156.29,1
53,-0.29,86.99,198.17,5,3,3,169.45,1
54,-0.27,106.93,448.57,7,3,9,386.12,1
55,-0.26,75.01,361.37,7,1,2,311.15,1
56,-0.24,181.61,444.44,10,7,2,377.44,1
57,-0.18,119.32,293.26,8,4,2,237.35,0
58,-0.15,74.6,132.12,4,2,4,117.04,1
59,-0.14,134.27,350.3,8,3,3,264.46,1
60,-0.1,134.08,267.25,9,2,3,224.06,1
61,-0.06,118.36,297.75,7,4,1,202.5,1
62,0.14,88.89,252.35,6,3,7,231.45,1
63,0.24,176.12,460.39,11,5,5,375.88,0
64,0.28,144.15,515.71,8,5,7,483.12,1
65,0.33,86.26,314.41,7,2,10,288.97,1
66,0.36,187.12,446.36,11,6,4,358.35,0
67,0.62,100.81,407.57,5,3,4,402.94,0
68,0.65,166.89,430.37,10,5,4,350.33,0
69,0.68,70.16,189.17,4,2,1,159.01,1
70,0.7,66.76,182.18,4,2,3,161.41,1
71,0.84,80.67,350.44,5,1,2,303.29,1
72,0.85,90.66,312.41,6,3,8,309.6,0
73,0.94,66.4,379.48,4,2,6,338.32,1
74,0.94,141.33,302.19,8,4,0,221.78,1
75,1.47,155.15,482.44,10,5,4,400.86,1
76,1.51,53.09,175.19,3,2,2,156.82,1
77,1.69,108.75,352.35,7,3,5,304.04,1
78,1.74,112.93,403.82,7,3,5,336.34,1
79,1.77,122.63,330.75,7,4,5,249.48,1
80,1.78,32.67,174.2,3,0,1,161.59,1
81,1.82,86.71,334.4,6,2,4,287.55,0
82,1.83,80.26,256.34,4,0,13,262.77,1
83,1.84,63.6,312.35,4,1,3,253.84,1
84,1.88,131.35,302.24,7,5,1,240.08,1
85,2.06,87.74,240.25,5,2,6,219.94,1
86,2.14,63.33,213.19,4,1,0,176.44,1
87,2.15,124.29,424.53,7,4,11,409.92,1
88,2.15,124.29,424.53,7,4,11,409.92,0
89,2.17,74.57,359.4,6,2,3,318.61,1
90,2.36,143.5,476.47,11,3,12,420.65,0
91,2.42,94.83,270.24,5,3,1,223.43,0
92,2.67,167.02,501.48,13,2,15,439.84,1
93,2.84,80.26,284.4,4,0,15,296.38,1
94,2.87,94.83,352.47,5,3,12,353.74,1
95,3,111.9,284.22,6,3,1,225.61,0
96,3.01,94.83,270.24,5,3,0,223.19,0
97,3.05,97.98,354.49,5,4,12,359.6,1
98,3.36,94.83,354.49,5,3,13,359.92,1
99,3.45,118.72,364.42,7,4,8,313.53,1
100,3.46,37.3,206.28,2,1,4,211.19,1
101,3.54,74.6,254.24,4,2,0,215.17,0
102,3.54,83.83,284.27,5,2,1,240.72,0
103,3.58,113.29,376.32,7,3,1,301.67,1
104,3.58,113.29,376.32,7,3,1,301.67,1
105,3.59,54.37,254.28,3,1,4,234.83,1
106,3.69,76,332.31,5,2,0,274.67,1
107,3.72,57.53,318.46,3,2,1,316.03,1
108,3.99,68.54,357.79,5,1,4,303.24,1
109,4.12,129.82,446.51,9,3,8,403.61,1
110,4.33,37.3,414.06,2,1,7,229.13,1
