Index,ndb,nsulph,ncof,nnitro,nhev,ntb,nrot,AWeight,ncocl,Hatov,Hy,UI,Qass,Decision
1,2,1,0,2,29,0,7,13.39,0,2.339,-3.685,3.907,1.122,1
2,1,0,0,5,28,0,5,12.937,0,2.786,-3.262,3.7,1.509,1
3,1,0,3,6,35,1,7,13.066,0,3.33,-3.664,4.7,0.929,1
4,2,0,3,6,40,1,10,13.034,0,3.035,-3.858,4.755,1.116,1
5,1,0,0,2,29,0,6,12.561,0,2.766,-4.02,4.248,1.025,1
6,2,1,0,4,28,0,10,13.582,0,2.701,-3.262,3.807,1.455,1
7,2,0,0,7,38,0,10,12.694,0,3.328,-3.867,4.954,1.547,1
8,2,1,0,3,19,0,4,14.011,0,2.984,-2.683,3.807,1.211,1
9,3,1,0,4,28,0,8,13.725,0,2.847,-3.09,3.907,1.65,1
10,3,1,0,5,18,0,7,14.566,0,2.755,-1.853,3.17,1.463,1
11,0,0,0,7,19,0,1,12.746,0,3.642,-2.683,4.17,0.955,1
12,1,0,0,1,21,0,5,12.676,0,2.716,-3.556,3,0.765,1
13,0,0,0,3,16,0,0,12.385,0,3.107,-3.25,3.585,0.304,1
14,3,0,0,10,38,0,12,13.166,0,3.193,-3.038,4.322,2.413,1
15,1,0,0,3,25,0,8,12.41,0,2.366,-3.901,3.807,0.582,1
16,4,0,0,4,29,0,11,12.974,0,3.042,-3.35,4.087,1.586,1
17,1,0,0,1,21,0,5,12.676,0,2.716,-3.556,3,0.765,1
18,2,0,0,5,9,0,3,13.12,0,2.379,-1.409,1.585,0.734,1
19,1,0,0,3,20,0,8,13.881,1,2.146,-3.025,3,0.925,1
20,2,0,0,7,22,0,6,13.893,1,3.062,-2.635,3.907,1.206,1
21,0,1,0,3,27,0,6,13.992,1,2.314,-3.698,3.7,0.606,1
22,0,0,0,4,21,0,5,12.961,0,2.687,-2.928,3.7,1.438,1
23,2,1,0,4,28,0,9,13.582,0,2.658,-3.262,3.807,1.386,1
24,2,1,1,4,26,0,7,13.818,0,2.924,-3.073,3.807,1.318,1
25,2,1,0,4,28,0,9,13.582,0,2.658,-3.262,3.807,1.386,1
26,3,1,0,5,29,0,8,13.597,0,2.669,-3.183,3.907,1.506,1
27,1,0,0,3,17,0,7,12.598,0,2.417,-3.126,3,0.637,1
28,2,1,0,4,27,0,8,13.64,0,2.723,-3.17,3.807,1.403,1
29,2,1,0,4,27,0,10,13.64,0,2.857,-3.17,3.807,1.457,1
30,2,1,0,4,28,0,10,13.582,0,2.814,-3.262,3.807,1.461,1
31,1,0,0,2,25,0,9,12.809,0,2.836,-3.529,3.807,1.297,1
32,3,1,0,4,27,0,9,13.64,0,2.485,-3.17,3.907,1.387,1
33,2,1,1,4,26,0,6,16.43,0,2.122,-2.893,3.807,1.29,1
34,2,2,0,5,21,0,10,14.776,0,1.935,-2.51,3,0.836,1
35,2,1,0,4,27,0,10,13.64,0,2.584,-3.17,3.807,1.46,1
36,3,1,0,4,31,0,10,13.559,0,3.074,-3.356,4.392,1.763,1
37,2,1,0,4,26,0,9,13.55,0,2.419,-3.254,3.807,1.25,1
38,2,1,0,4,27,0,10,13.64,0,2.857,-3.17,3.807,1.457,1
39,2,1,0,4,28,0,11,13.582,0,2.557,-3.262,3.807,1.464,1
40,1,0,0,3,31,0,5,12.719,0,2.731,-3.836,3.807,1.527,1
41,1,1,0,6,17,1,7,13.895,0,2.213,-2.404,3,0.707,1
42,4,2,0,3,23,0,6,14.709,0,2.421,-2.753,4,0.986,1
43,2,1,0,4,27,0,10,13.64,0,2.584,-3.17,3.807,1.46,1
44,1,0,0,2,19,0,8,12.851,0,2.579,-3.13,3,0.959,1
45,2,1,0,4,26,0,7,13.55,0,2.635,-3.254,3.807,1.229,1
46,1,0,0,2,19,0,8,12.851,0,2.579,-3.13,3,0.959,1
47,2,1,0,4,29,0,13,13.665,0,2.689,-3.183,3.807,1.62,1
48,2,1,0,4,26,0,7,13.703,0,2.905,-3.073,3.807,1.446,1
49,2,1,0,4,24,0,8,13.844,0,2.927,-2.866,3.807,1.472,1
50,2,1,0,4,26,0,7,13.55,0,2.761,-3.254,3.807,1.25,1
51,0,0,0,1,17,0,5,12.832,0,2.367,-3.126,2.807,0.922,1
52,2,1,0,4,27,0,11,13.788,0,2.898,-2.994,3.807,1.663,1
53,3,1,0,4,23,0,7,13.924,0,3.033,-2.753,3.907,1.451,1
54,3,1,0,3,23,0,6,14.01,0,2.924,-2.753,3.907,1.607,1
55,5,2,0,4,22,0,5,14.922,0,2.328,-2.432,3.459,1.017,1
56,2,1,0,3,21,0,5,14.011,0,2.819,-2.719,3.807,1.472,1
57,2,1,0,4,23,0,8,13.75,0,2.816,-2.95,3.807,1.262,1
58,5,2,0,4,23,0,6,14.796,0,2.312,-2.557,3.459,1.022,1
59,2,1,0,4,26,0,10,13.703,0,2.704,-3.073,3.807,1.459,1
60,0,0,0,1,16,0,4,12.883,0,2.394,-3,2.807,1.066,1
61,2,1,0,4,27,0,11,13.788,0,2.898,-2.994,3.807,1.663,1
62,2,1,0,4,26,0,6,13.55,0,2.786,-3.254,3.807,1.261,1
63,1,0,0,2,19,0,8,12.851,0,2.579,-3.13,3,0.959,1
64,3,1,0,4,24,0,7,13.844,0,2.851,-2.866,3.907,1.454,1
65,2,1,0,4,23,0,7,13.75,0,2.706,-2.95,3.807,1.262,1
66,2,1,0,4,25,0,6,14.549,1,2.599,-2.972,3.807,1.237,1
67,2,1,1,4,25,0,6,13.891,0,2.949,-2.972,3.807,1.285,1
68,1,0,0,2,21,0,5,12.771,0,2.577,-3.347,3.7,0.998,1
69,3,1,0,6,19,0,7,14.327,0,2.55,-2.012,3.17,1.343,1
70,1,1,0,4,25,0,4,13.452,0,2.846,-3.344,4.17,1.059,1
71,2,1,0,4,23,0,8,13.75,0,2.68,-2.95,3.807,1.245,1
72,2,1,0,4,25,0,7,13.611,0,2.804,-3.158,3.807,1.246,1
73,2,1,0,4,23,0,6,13.75,0,2.905,-2.95,3.807,1.238,1
74,2,1,0,4,26,0,6,13.55,0,2.761,-3.254,3.807,1.243,1
75,0,0,0,4,29,1,5,12.561,0,2.685,-3.853,3.807,1.227,1
76,2,1,0,5,22,0,7,13.92,0,2.92,-2.635,3.807,1.353,1
77,2,1,0,3,20,0,4,14.111,0,3.085,-2.593,3.807,1.549,1
78,2,1,0,4,22,0,7,13.829,0,2.87,-2.838,3.807,1.261,1
79,2,1,0,5,23,0,8,13.837,0,2.863,-2.753,3.807,1.354,1
80,2,1,0,3,20,0,6,13.712,0,2.135,-3.025,3.7,0.519,1
81,2,1,0,4,25,0,9,13.771,0,2.742,-2.972,3.807,1.457,1
82,0,0,0,4,29,1,5,12.561,0,2.685,-3.853,3.807,1.227,1
83,2,1,0,4,24,0,6,13.678,0,2.851,-3.057,3.807,1.239,1
84,3,1,0,4,23,0,7,13.924,0,3.033,-2.753,3.907,1.45,1
85,2,1,0,4,25,0,7,13.611,0,2.804,-3.158,3.807,1.246,1
86,2,1,0,4,25,0,6,13.611,0,2.804,-3.158,3.807,1.24,1
87,0,0,0,1,22,0,6,12.827,0,3.014,-3.446,3.7,1.446,1
88,2,1,0,4,21,0,10,13.916,0,2.176,-2.719,3,0.993,1
89,2,0,0,7,26,0,8,13.603,1,2.617,-3.073,3.907,1.238,1
90,2,1,0,5,24,0,6,13.761,0,2.897,-2.866,3.807,1.332,1
91,2,1,0,4,27,0,9,13.64,0,2.44,-3.17,3.807,1.561,1
92,1,0,0,1,25,0,9,12.569,0,2.276,-3.901,3,0.914,1
93,2,1,0,4,24,0,6,13.678,0,2.851,-3.057,3.807,1.239,1
94,2,1,0,4,25,0,6,13.611,0,2.679,-3.158,3.807,1.238,1
95,2,1,0,4,25,0,6,13.611,0,2.679,-3.158,3.807,1.238,1
96,1,0,0,3,24,0,10,13.091,0,2.994,-3.057,3,1.577,1
97,2,1,0,5,26,1,6,13.626,0,2.96,-3.073,3.907,1.278,1
