Index,nsulph,ncof,ntb,AWeight,ncocl,GMTIV,Hatov,TPSA,Hy,QOss,C Log P
1,0,0,0,22.916,0,3.318,1.215,33.12,-2.562,0.255,3.465
2,0,0,0,30.147,0,3.311,0.821,33.12,-2.562,0.255,3.15
3,0,0,0,12.581,0,4.556,2.368,52.19,-4.25,0.972,4.943
4,0,0,0,12.724,0,3.335,1.995,26.79,-2.72,0.062,0.696
5,0,0,0,13.205,1,4.222,2.207,37.39,-3.949,0.247,5.972
6,0,0,0,12.676,0,2.283,2.4,24.06,-1.723,0,-0.821
7,1,0,0,13.871,0,3.511,2.718,41.57,-2.72,0,2.204
8,0,0,0,13.557,0,4.85,3.306,331.94,-2.927,1.742,-8.424
9,1,0,0,13.85,0,4.316,2.674,132.96,-2.972,0.699,0.024
10,1,0,0,13.761,0,4.224,2.599,112.73,-3.057,0.441,0.318
11,1,0,0,13.528,0,4.418,2.563,95.94,-3.518,0.682,2.484
12,1,0,0,13.621,0,4.731,2.707,156.43,-3.303,0.641,-0.24
13,2,0,0,14.732,0,4.289,2.415,124.01,-2.786,0.735,0.548
14,0,0,0,13.008,0,4.934,2.074,180.08,-4.166,1.642,1.901
15,0,0,0,13.046,0,4.95,2.101,182.91,-4.166,1.723,2.44
16,1,0,0,14.508,1,4.168,2.012,102.26,-3.17,0.652,0.39
17,0,0,0,13.067,0,4.939,2.144,193.91,-4.115,1.732,1.786
18,1,0,0,14.738,1,4.245,2.686,112.73,-2.866,0.435,0.621
19,1,0,0,13.85,0,4.339,2.852,132.96,-2.972,0.693,0.151
20,1,0,0,13.761,0,4.248,2.775,112.73,-3.057,0.435,0.445
21,3,0,0,15.186,0,4.54,2.397,156.09,-2.345,0.435,-0.636
22,3,0,0,14.451,0,4.862,2.271,175.4,-3.267,0.789,2.298
23,2,0,0,14.056,0,5.028,2.77,220.26,-3.102,0.893,-1.112
24,4,0,0,15.514,0,4.814,2.338,219.93,-2.441,0.916,-1.397
25,1,0,0,14.078,0,4.585,3.047,173.76,-2.68,1.053,-0.536
26,3,0,0,14.901,0,4.815,2.52,214.96,-2.585,0.728,-2.093
27,1,0,0,13.952,0,4.784,2.823,189.06,-2.931,1.248,-0.168
28,0,0,0,15.552,2,4.081,2.665,112.7,-2.377,0.512,0.909
29,0,1,0,13.05,0,4.228,3.239,74.57,-3.248,0.372,1.583
30,0,2,0,13.223,0,4.381,2.983,100.59,-3.262,0.372,2.082
31,0,3,0,13.422,0,4.544,3.673,101.45,-3.183,0.372,2.039
32,0,0,0,13.865,1,4.532,2.958,181.62,-3.281,1.304,0.108
33,0,0,0,13.133,0,4.526,3.062,181.62,-3.438,1.307,-0.504
34,0,0,0,13.038,0,4.549,2.821,164.63,-3.516,1.154,0.03
35,0,0,0,13.22,0,4.57,3.123,201.85,-3.363,1.455,-1.4
36,0,0,0,13.133,0,4.53,3.038,181.62,-3.438,1.302,-0.371
37,0,1,0,13.082,0,4.327,2.895,83.8,-3.346,0.614,1.98
38,0,1,0,13.124,0,4.304,2.907,75.01,-3.254,0.609,1.544
39,0,1,0,13.008,0,4.406,3.002,83.8,-3.518,0.614,2.37
40,0,1,0,13.095,0,4.181,3.036,74.57,-3.147,0.372,1.268
41,0,1,0,13.124,0,4.304,2.907,75.01,-3.254,0.609,1.544
42,0,0,0,13.582,0,4.637,3.333,282.61,-2.751,1.522,-7.291
43,0,1,0,13.216,0,4.309,2.984,71.11,-3.057,0.464,1.124
44,0,0,0,12.95,0,3.799,2.865,72.19,-2.885,0.372,1.423
45,0,0,0,13.531,0,4.908,3.298,353.11,-2.953,1.76,-8.895
46,0,0,0,13.654,0,4.085,4.064,118.05,-1.924,0.425,0.073
47,1,0,0,14.583,0,3.61,2.471,89.26,-2.176,0.156,0.094
48,1,0,0,14.13,0,3.858,2.881,97.97,-2.404,0.081,0.86
49,1,0,0,14.123,0,3.882,2.443,98.22,-2.548,0.195,1.674
50,1,0,0,14.247,0,3.854,2.636,98.22,-2.404,0.21,1.366
51,2,0,0,15.309,0,3.804,2.222,97.97,-2.164,0.081,1.23
52,1,0,0,14.922,0,3.294,2.538,86.18,-1.887,0.086,-0.084
53,1,0,0,13.725,0,4.572,3.231,141.31,-3.09,0.627,3.702
54,2,0,0,15.391,0,3.725,2.33,85.08,-2.25,0.081,1.526
55,0,0,0,12.871,0,5.19,2.332,171.85,-4.343,1.22,4.929
56,0,0,0,13.445,0,4.567,3.2,268.17,-2.813,1.227,-6.296
57,0,0,0,12.961,0,4.075,2.687,105.51,-2.928,0.725,1.258
58,0,0,0,13.085,0,5.408,2.832,319.61,-4.355,2.435,0.712
59,0,0,0,13.985,1,4.153,2.391,71.06,-3.248,1.126,2.81
60,0,3,0,13.408,0,4.376,3.427,76.72,-2.972,0.146,2.177
61,0,0,0,13.674,2,4.462,2.554,42.21,-4.127,0,7.49
62,1,0,0,13.895,0,3.79,2.757,86.18,-2.885,0.095,1.684
63,0,0,0,13.349,1,3.926,2.108,28.16,-3.649,0,4.811
64,0,0,0,13.464,1,4.064,2.269,48.39,-3.54,0.156,3.783
65,0,6,0,13.93,0,4.425,3.583,45.15,-3.073,0.15,4.448
66,0,0,0,12.51,0,4.11,2.791,45.59,-3.821,0.396,3.173
67,0,0,0,13.507,0,3.487,3.025,81.19,-1.792,0.41,0.092
68,0,0,0,13.721,0,2.814,3.5,64.35,-1.203,0.147,-1.625
69,0,0,0,12.866,0,3.443,2.132,64.52,-2.72,0.312,-0.293
70,1,0,0,14.197,0,3.076,2.082,38.91,-2.516,0,1.278
71,0,0,0,13.009,0,3.246,3.593,68.01,-1.993,0.072,-0.315
72,0,0,0,12.861,0,5.213,2.442,209.04,-4.472,1.794,4.749
73,0,0,0,12.957,0,5.207,2.518,220.15,-4.287,2.052,4.335
74,1,0,0,14.013,0,3.78,2.513,79.51,-2.5,0.076,0.812
75,0,0,0,12.842,0,3.247,2.553,63.32,-2.689,0.295,1.37
76,0,0,0,15.565,2,3.662,2.524,90.71,-2.25,0,2.01
77,0,0,0,12.918,0,3.145,2.15,63.32,-2.516,0.295,1.082
78,0,0,0,13.119,0,3.074,2.888,63.32,-2.113,0.295,0.365
79,0,0,0,12.464,0,3.872,1.913,52.32,-3.851,0.281,4.235
80,0,0,0,12.233,0,3.713,2.488,16.13,-3.707,0,3.165
81,0,0,0,12.122,0,3.752,2.443,3.24,-3.938,0,3.75
82,0,0,0,13.439,1,4.012,2.749,43.07,-3.446,0,3.58
83,0,0,0,13.893,1,4.148,3.134,84.6,-3.041,0.208,3.038
84,0,0,0,13.602,1,3.95,2.709,48.19,-3.347,0.083,1.849
85,0,0,0,13.802,1,4.099,3.134,78.76,-3.243,0.366,2.583
86,0,0,0,13.582,1,3.895,2.66,32.67,-3.458,0.074,3.154
87,0,1,0,13.507,1,4.241,2.505,35.91,-3.698,0.074,4.005
88,0,0,0,14.813,2,3.977,2.691,61.69,-3.137,0.205,3.101
89,0,1,0,13.594,1,4.097,2.807,30.18,-3.54,0,4.324
90,0,0,0,13.781,1,3.952,3.029,61.69,-3.241,0.205,2.448
