Index,ndb,nsulph,ncof,nnitro,nhev,ntb,nrot,AWeight,ncocl,Hatov,Hy,UI,Qass,C Log P
1,0,0,0,1,13,0,0,22.916,0,1.215,-2.562,3.585,0.476,3.465
2,0,0,0,1,13,0,0,30.147,0,0.821,-2.562,3.585,0.474,3.15
3,0,0,0,2,35,0,7,12.581,0,2.368,-4.25,3.7,1.416,4.943
4,1,0,0,3,14,0,4,12.724,0,1.995,-2.72,1,0.51,0.696
5,0,0,0,3,28,0,9,13.205,1,2.207,-3.949,4.087,0.694,5.972
6,0,0,0,2,6,0,0,12.676,0,2.4,-1.723,0,0.243,-0.821
7,0,1,0,3,14,0,1,13.871,0,2.718,-2.72,4,0.367,2.204
8,1,0,0,5,40,0,11,13.557,0,3.306,-2.927,1,3.168,-8.424
9,3,1,0,3,25,0,5,13.85,0,2.674,-2.972,3.322,1.612,0.024
10,3,1,0,3,24,0,5,13.761,0,2.599,-3.057,3.322,1.27,0.318
11,3,1,0,2,29,0,6,13.528,0,2.563,-3.518,3.907,1.42,2.484
12,6,1,0,5,36,0,9,13.621,0,2.707,-3.303,3.7,1.986,-0.24
13,4,2,0,2,25,0,6,14.732,0,2.415,-2.786,3.322,1.641,0.548
14,1,0,0,2,52,0,7,13.008,0,2.074,-4.166,1,2.467,1.901
15,2,0,0,1,52,0,8,13.046,0,2.101,-4.166,1.585,2.433,2.44
16,1,1,0,2,27,0,8,14.508,1,2.012,-3.17,1,1.258,0.39
17,2,0,0,1,51,0,7,13.067,0,2.144,-4.115,1.585,2.476,1.786
18,4,1,0,3,24,0,5,14.738,1,2.686,-2.866,3.459,1.273,0.621
19,4,1,0,3,25,0,5,13.85,0,2.852,-2.972,3.459,1.605,0.151
20,4,1,0,3,24,0,5,13.761,0,2.775,-3.057,3.459,1.262,0.445
21,4,3,0,8,29,0,8,15.186,0,2.397,-2.345,3.907,1.3,-0.636
22,7,3,0,6,41,0,13,14.451,0,2.271,-3.267,4.17,2.044,2.298
23,7,2,0,9,44,0,12,14.056,0,2.77,-3.102,4.248,2.442,-1.112
24,7,4,0,7,36,0,10,15.514,0,2.338,-2.441,3.7,2.26,-1.397
25,6,1,0,4,29,0,9,14.078,0,3.047,-2.68,3.585,2.194,-0.536
26,7,3,0,8,36,0,9,14.901,0,2.52,-2.585,4.248,2.236,-2.093
27,7,1,0,4,35,0,13,13.952,0,2.823,-2.931,3.7,2.481,-0.168
28,2,0,0,2,20,0,7,15.552,2,2.665,-2.377,3.17,1.005,0.909
