Index,C Log P,TPSA,Molecular Weight,nON,nOHNH,ROTB,Molecular Volume
1,3.48,33.12,302.95,2,1,0,167.67
2,4.02,33.12,396.95,2,1,0,179.88
3,3.64,52.2,480.65,6,1,7,468.58
4,0.88,26.79,199.3,4,0,2,209.62
5,6.56,37.39,399.97,4,1,9,382.66
6,-0.96,24.05,86.14,2,2,0,93.81
7,2.35,41.58,201.25,3,1,1,166.83
8,-5.97,331.95,585.61,18,17,10,509.98
9,-1.35,132.96,365.41,8,5,4,306.89
10,-0.87,112.73,349.41,7,4,4,298.87
11,2.01,98.77,413.48,7,1,5,354.35
12,-0.52,159.25,516.56,12,2,6,435.88
13,-0.82,126.83,383.43,8,2,5,302.55
14,2.73,180.09,749,14,5,7,736.45
15,2.9,182.93,747.96,14,4,8,726.81
16,2.06,102.25,424.99,7,4,7,384.72
17,2.28,193.92,733.94,14,5,7,709.28
18,-4.54,565.09,1440.73,32,22,48,1329.99
19,0.56,89.53,333.39,6,1,4,284.81
20,-1.7,112.73,367.81,7,4,4,290.17
21,-1.97,132.96,363.39,8,5,4,301.21
22,-1.49,112.73,347.4,7,4,4,293.19
23,-4.24,158.93,453.51,12,1,7,340.77
24,2.79,175.42,620.74,13,3,12,509.03
25,-3.75,223.09,644.67,17,3,9,517.46
26,-4.57,225.6,573.62,15,3,9,419.58
27,-3.58,176.35,454.47,12,3,8,353.75
28,-4.33,217.81,553.58,15,4,8,419.49
29,-0.98,173.77,424.39,12,4,8,334.95
30,0.06,189.08,510.48,14,3,12,413.83
31,0.73,115.38,323.13,7,3,6,249.16
32,-0.7,74.57,331.35,6,2,3,285.46
33,1.63,100.59,392.41,7,4,3,334.85
34,-0.3,101.46,404.35,7,3,3,321.9
35,-0.2,181.61,464.86,10,7,2,374.74
36,-0.43,181.61,444.44,10,7,2,377.79
37,0.22,164.62,457.48,10,6,3,399.06
38,-1.16,201.84,460.44,11,8,2,385.48
39,-0.24,181.61,444.44,10,7,2,377.44
40,-0.04,83.8,375.4,7,2,4,327.59
41,-0.26,75.01,361.37,7,1,2,311.15
42,0.39,83.8,401.44,7,2,4,350.62
43,-0.69,74.57,319.34,6,2,3,279.23
44,-0.26,75.01,361.37,7,1,2,311.15
45,-6.04,347.34,615.63,19,18,9,530.7
46,-5.7,282.62,484.5,15,15,6,420.15
47,0.92,71.11,337.35,7,1,4,295.4
48,0.81,72.2,232.24,5,1,2,205.16
49,-6.11,353.14,614.65,19,19,9,533.97
50,-0.05,120.73,238.16,9,1,3,181.32
51,-5.62,490.65,1203.5,29,23,29,1145.11
52,-2.64,91.34,213.24,5,2,2,171.86
53,-0.04,97.98,250.28,6,3,3,202.26
54,0.99,98.22,267.31,6,3,3,221.11
55,0.99,105.53,290.32,7,4,5,263.15
56,0.21,97.98,270.34,6,3,3,209.53
57,-0.29,86.19,172.21,4,4,1,138.05
58,3.9,141.32,398.4,9,3,6,320.66
59,0.83,85.08,255.32,5,3,3,197.13
60,3.7,171.88,812.02,15,2,11,772.32
61,-5.7,268.19,467.52,14,15,6,415.38
62,0.99,105.53,290.32,7,4,5,263.15
63,-2.49,319.61,924.09,18,13,3,865.48
64,1.57,71.08,352.77,6,0,3,293.6
65,1.49,76.73,349.32,6,1,5,285.11
