Index,C Log P,TPSA,Molecular Weight,nON,nOHNH,ROTB,Molecular Volume,Predict_KNN,Predict_RF,Predict_DT,Predict_Naive,Predict_XG-Boost,Predict_SVM,Y_Actual
66.0,1.82,119.48,360.44,7.0,6.0,6.0,313.69,1.0,1.0,1.0,1.0,1.0,1.0,1.0
150.0,5.43,3.24,315.87,1.0,0.0,3.0,283.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45.0,1.03,139.7,390.46,8.0,7.0,9.0,338.54,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22.0,-0.26,86.01,331.47,7.0,2.0,10.0,293.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101.0,1.22,67.79,265.31,5.0,2.0,5.0,247.78,1.0,0.0,1.0,1.0,0.0,1.0,0.0
125.0,1.57,119.48,364.4,7.0,6.0,5.0,301.82,1.0,1.0,1.0,1.0,1.0,1.0,1.0
175.0,8.31,42.68,645.32,4.0,0.0,11.0,437.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113.0,0.69,139.7,378.45,8.0,7.0,9.0,332.31,1.0,1.0,1.0,1.0,1.0,1.0,1.0
154.0,1.82,86.24,508.62,8.0,1.0,5.0,444.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89.0,1.07,72.71,225.29,4.0,4.0,4.0,220.31,0.0,1.0,1.0,1.0,0.0,1.0,1.0
168.0,-3.35,191.46,571.66,15.0,7.0,12.0,519.97,0.0,0.0,0.0,0.0,1.0,1.0,0.0
26.0,1.16,143.27,371.42,8.0,6.0,5.0,313.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15.0,1.77,49.77,289.38,4.0,1.0,5.0,279.01,0.0,1.0,1.0,1.0,1.0,0.0,1.0
141.0,2.89,43.69,267.33,3.0,2.0,0.0,246.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,4.3,40.54,375.87,3.0,1.0,6.0,336.98,0.0,0.0,0.0,0.0,1.0,0.0,0.0
75.0,0.33,139.78,417.49,9.0,6.0,6.0,361.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0
102.0,1.43,119.48,346.41,7.0,1.0,5.0,296.89,0.0,1.0,1.0,1.0,1.0,0.0,1.0
160.0,-0.84,193.79,470.53,12.0,7.0,7.0,377.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0
165.0,5.7,113.41,681.86,10.0,3.0,11.0,640.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190.0,0.77,132.36,353.43,7.0,5.0,5.0,283.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
149.0,-0.73,160.89,471.52,12.0,5.0,8.0,418.39,1.0,0.0,0.0,0.0,0.0,1.0,0.0
120.0,1.82,119.48,360.44,7.0,6.0,6.0,313.69,1.0,1.0,1.0,1.0,1.0,1.0,1.0
96.0,2.2,110.69,374.47,7.0,5.0,9.0,335.58,1.0,1.0,1.0,1.0,1.0,1.0,0.0
104.0,0.62,150.54,348.38,8.0,7.0,6.0,291.76,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.0,4.19,68.75,446.91,7.0,1.0,8.0,385.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32.0,2.85,102.54,478.48,7.0,2.0,7.0,406.09,0.0,0.0,0.0,0.0,0.0,0.0,1.0
155.0,-0.23,92.72,563.6,8.0,1.0,9.0,496.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135.0,5.69,8.17,346.5,2.0,0.0,4.0,326.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61.0,1.37,118.44,277.31,6.0,6.0,3.0,227.13,1.0,1.0,1.0,1.0,1.0,1.0,1.0
84.0,1.92,36.42,230.1,3.0,2.0,1.0,181.94,0.0,0.0,1.0,0.0,0.0,1.0,0.0
146.0,0.83,142.81,305.73,8.0,7.0,4.0,249.34,1.0,1.0,1.0,1.0,1.0,1.0,0.0
23.0,-1.94,59.06,392.52,5.0,1.0,5.0,332.91,1.0,1.0,1.0,1.0,1.0,1.0,1.0
189.0,2.61,70.67,322.75,5.0,2.0,2.0,265.03,0.0,0.0,0.0,0.0,0.0,0.0,1.0
152.0,2.79,105.61,478.43,8.0,1.0,5.0,392.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48.0,1.85,136.13,507.55,10.0,4.0,9.0,448.54,0.0,0.0,0.0,0.0,0.0,0.0,1.0
33.0,-0.31,159.93,394.45,9.0,8.0,10.0,340.57,1.0,1.0,1.0,1.0,1.0,1.0,1.0
83.0,0.72,84.58,266.34,5.0,4.0,8.0,260.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
70.0,0.79,139.7,376.44,8.0,7.0,6.0,321.73,1.0,1.0,1.0,1.0,1.0,1.0,1.0
105.0,0.6,133.47,334.4,7.0,7.0,7.0,289.79,1.0,1.0,1.0,1.0,1.0,1.0,1.0
