Index,C Log P,TPSA,Molecular Weight,nON,nOHNH,ROTB,Molecular Volume,Predicted_Output_supervisedModel,Prediction_ANNModel
1,3.48,33.12,302.95,2,1,0,167.67,0,0
2,4.02,33.12,396.95,2,1,0,179.88,0,0
3,3.64,52.2,480.65,6,1,7,468.58,0,0
4,0.88,26.79,199.3,4,0,2,209.62,1,1
5,6.56,37.39,399.97,4,1,9,382.66,0,0
6,-0.96,24.05,86.14,2,2,0,93.81,1,1
7,2.35,41.58,201.25,3,1,1,166.83,1,0
8,-5.97,331.95,585.61,18,17,10,509.98,0,1
9,-1.35,132.96,365.41,8,5,4,306.89,1,1
10,-0.87,112.73,349.41,7,4,4,298.87,1,1
11,2.01,98.77,413.48,7,1,5,354.35,1,0
12,-0.52,159.25,516.56,12,2,6,435.88,1,0
13,-0.82,126.83,383.43,8,2,5,302.55,1,1
14,2.73,180.09,749,14,5,7,736.45,0,0
15,2.9,182.93,747.96,14,4,8,726.81,0,0
16,2.06,102.25,424.99,7,4,7,384.72,1,1
17,2.28,193.92,733.94,14,5,7,709.28,0,0
18,-4.54,565.09,1440.73,32,22,48,1329.99,0,1
19,0.56,89.53,333.39,6,1,4,284.81,1,1
20,-1.7,112.73,367.81,7,4,4,290.17,1,1
21,-1.97,132.96,363.39,8,5,4,301.21,1,1
22,-1.49,112.73,347.4,7,4,4,293.19,1,1
23,-4.24,158.93,453.51,12,1,7,340.77,1,1
24,2.79,175.42,620.74,13,3,12,509.03,0,0
25,-3.75,223.09,644.67,17,3,9,517.46,0,0
26,-4.57,225.6,573.62,15,3,9,419.58,0,1
27,-3.58,176.35,454.47,12,3,8,353.75,1,1
28,-4.33,217.81,553.58,15,4,8,419.49,0,1
29,-0.98,173.77,424.39,12,4,8,334.95,1,1
30,0.06,189.08,510.48,14,3,12,413.83,1,1
31,0.73,115.38,323.13,7,3,6,249.16,1,1
32,-0.7,74.57,331.35,6,2,3,285.46,1,1
33,1.63,100.59,392.41,7,4,3,334.85,1,1
34,-0.3,101.46,404.35,7,3,3,321.9,1,1
35,-0.2,181.61,464.86,10,7,2,374.74,1,1
36,-0.43,181.61,444.44,10,7,2,377.79,1,1
37,0.22,164.62,457.48,10,6,3,399.06,1,1
38,-1.16,201.84,460.44,11,8,2,385.48,1,1
39,-0.24,181.61,444.44,10,7,2,377.44,1,1
40,-0.04,83.8,375.4,7,2,4,327.59,1,1
41,-0.26,75.01,361.37,7,1,2,311.15,1,1
42,0.39,83.8,401.44,7,2,4,350.62,1,1
43,-0.69,74.57,319.34,6,2,3,279.23,1,1
44,-0.26,75.01,361.37,7,1,2,311.15,1,1
45,-6.04,347.34,615.63,19,18,9,530.7,0,1
46,-5.7,282.62,484.5,15,15,6,420.15,1,1
47,0.92,71.11,337.35,7,1,4,295.4,1,1
48,0.81,72.2,232.24,5,1,2,205.16,1,1
49,-6.11,353.14,614.65,19,19,9,533.97,0,1
50,-0.05,120.73,238.16,9,1,3,181.32,1,1
51,-5.62,490.65,1203.5,29,23,29,1145.11,0,1
52,-2.64,91.34,213.24,5,2,2,171.86,1,1
53,-0.04,97.98,250.28,6,3,3,202.26,1,1
54,0.99,98.22,267.31,6,3,3,221.11,1,1
55,0.99,105.53,290.32,7,4,5,263.15,1,1
56,0.21,97.98,270.34,6,3,3,209.53,1,1
57,-0.29,86.19,172.21,4,4,1,138.05,1,1
58,3.9,141.32,398.4,9,3,6,320.66,0,0
59,0.83,85.08,255.32,5,3,3,197.13,1,1
60,3.7,171.88,812.02,15,2,11,772.32,0,0
61,-5.7,268.19,467.52,14,15,6,415.38,1,1
62,0.99,105.53,290.32,7,4,5,263.15,1,1
63,-2.49,319.61,924.09,18,13,3,865.48,0,0
64,1.57,71.08,352.77,6,0,3,293.6,1,1
65,1.49,76.73,349.32,6,1,5,285.11,1,1
66,8.43,42.22,473.41,4,1,4,408.74,0,0
67,0.93,86.19,248.31,4,4,2,209.46,1,1
68,5,28.16,319.88,3,1,8,313.12,0,0
69,4,48.38,335.88,4,2,9,321.38,0,0
70,4.24,45.15,378.32,3,2,4,296.92,0,0
71,3.06,45.59,324.42,4,1,4,310.79,0,0
72,-0.47,83.88,171.16,6,1,3,146.77,1,1
73,-0.62,500.71,1291.25,29,6,16,951.76,0,0
74,-3.8,115.48,273.1,6,4,4,188.97,1,1
75,-1.9,64.36,102.09,4,3,0,87.08,1,1
76,0.35,64.51,204.31,4,4,9,221.06,1,1
77,1.46,38.91,166.25,2,2,2,152.4,1,1
78,-0.97,68.01,137.14,4,3,1,122.56,1,1
79,4.61,209.05,847.02,15,5,5,786.81,0,0
80,2.62,220.16,822.95,16,6,5,755.91,0,0
81,1.1,79.51,236.3,5,4,4,206.8,1,1
82,0.62,63.32,171.24,3,3,3,174.2,1,1
83,2.04,90.72,256.1,5,4,1,192.63,1,1
84,0.66,63.32,159.23,3,3,5,168.11,1,1
85,-0.39,63.32,129.16,3,3,4,129.09,1,1
86,1.32,26.02,135.21,1,2,2,145.52,1,1
87,2.97,52.33,305.46,3,2,7,322.67,0,0
88,2.1,12.47,191.27,2,0,1,195.35,0,0
89,2.63,16.13,240.35,2,0,5,247.63,1,0
90,3.88,3.24,239.36,1,0,5,251.79,0,0
91,2.29,43.08,308.77,4,0,1,263.23,1,0
92,2.77,87.29,315.72,6,1,2,252.93,0,0
93,3.73,48.19,299.76,4,1,1,258.83,0,0
94,-0.99,81.59,313.72,5,1,2,253.88,1,1
95,2.74,32.67,284.75,3,0,1,246.54,1,0
96,3.64,35.91,387.89,4,0,6,348.02,0,0
97,2.47,61.69,321.16,4,2,1,251.17,1,0
98,3.07,30.19,325.77,3,0,1,272.32,0,0
99,1.84,61.69,286.72,4,2,1,237.64,1,1
100,2.08,52.9,300.75,4,1,1,254.58,1,0
101,2.92,43.08,343.22,4,0,1,276.77,0,0
102,1.33,104.66,218.25,6,4,8,207.98,1,1
103,4.18,90.66,260.33,6,3,9,259.05,0,0
104,2.8,37.3,144.21,2,1,5,156.79,1,0
105,0.09,40.13,143.21,2,0,5,154.05,1,1
106,2.8,37.3,144.21,2,1,5,156.79,1,0
107,1.34,37.38,203.24,3,0,1,190.38,1,1
108,0.36,46.17,141.17,3,1,1,135.39,1,1
109,2.18,58.2,252.27,4,2,2,223.89,1,1
110,0.16,115.57,339.37,9,2,3,276.58,1,1
